case_id,date,customer,country,channel,root_cause,resolution_time_hrs,notes
CS-2025-0001,2025-01-18,Lidl Europe,EU,EDI,EDI order not processed — manual intervention required,6,Retailer EDI portal shows accepted but order not in our system.
CS-2025-0002,2025-01-18,Carrefour France,FR,Manual,Delivery short — quantity variance,3,Awaiting sign-off from Credit Controller.
CS-2025-0003,2025-01-22,Tesco UK,UK,Phone,Delivery short — quantity variance,26,Customer accepted revised delivery date.
CS-2025-0004,2025-01-25,Lidl Europe,EU,Phone,Pricing discrepancy on invoice,67,Awaiting sign-off from Credit Controller.
CS-2025-0005,2025-01-28,Mercadona,ES,Manual,Product substitution query,16,Customer accepted revised delivery date.
CS-2025-0006,2025-01-30,Mercadona,ES,EDI,Pricing discrepancy on invoice,52,Short delivery confirmed by logistics — credit raised.
CS-2025-0007,2025-02-01,dm (Drogerie Markt),DE,EDI,Delivery date change requested,41,Resolved by account manager — credit note issued.
CS-2025-0008,2025-02-04,dm (Drogerie Markt),DE,Phone,Returns authorisation requested,43,Awaiting sign-off from Credit Controller.
CS-2025-0009,2025-02-06,Boots UK,UK,EDI,EDI order not processed — manual intervention required,48,Retailer EDI portal shows accepted but order not in our system.
CS-2025-0010,2025-02-07,Coop Group,EU,Manual,Customer query — payment application,37,Price list version mismatch. Updated in system.
CS-2025-0011,2025-02-07,Coop Group,EU,Email,Pricing discrepancy on invoice,54,Customer accepted revised delivery date.
CS-2025-0012,2025-02-09,E.Leclerc,FR,Manual,Credit note dispute,34,Price list version mismatch. Updated in system.
CS-2025-0013,2025-02-15,dm (Drogerie Markt),DE,Manual,Delivery date change requested,53,Customer accepted revised delivery date.
CS-2025-0014,2025-02-19,Carrefour France,FR,Manual,Delivery short — quantity variance,53,Customer accepted revised delivery date.
CS-2025-0015,2025-02-19,Boots UK,UK,EDI,EDI order not processed — manual intervention required,4,EDI connection timeout. Order queued for manual processing.
CS-2025-0016,2025-02-21,E.Leclerc,FR,Phone,Customer query — payment application,55,Customer accepted revised delivery date.
CS-2025-0017,2025-02-26,Carrefour France,FR,Phone,Delivery short — quantity variance,23,Awaiting sign-off from Credit Controller.
CS-2025-0018,2025-02-27,Carrefour France,FR,Phone,Customer query — payment application,94,Short delivery confirmed by logistics — credit raised.
CS-2025-0019,2025-03-01,Carrefour France,FR,EDI,Delivery date change requested,20,Awaiting sign-off from Credit Controller.
CS-2025-0020,2025-03-02,E.Leclerc,FR,EDI,EDI order not processed — manual intervention required,4,Boots UK EDI outage — contacted Sanofi IT helpdesk as per internal note.
CS-2025-0021,2025-03-03,Carrefour France,FR,EDI,EDI order not processed — manual intervention required,6,EDI acknowledgement not received from partner. Manual re-entry required.
CS-2025-0022,2025-03-03,Carrefour France,FR,Email,Delivery short — quantity variance,75,Short delivery confirmed by logistics — credit raised.
CS-2025-0023,2025-03-03,Lidl Europe,EU,EDI,Delivery date change requested,71,Price list version mismatch. Updated in system.
CS-2025-0024,2025-03-05,Carrefour France,FR,EDI,EDI order not processed — manual intervention required,8,Customer threatened to delist Doliprane if EDI reliability does not improve.
CS-2025-0025,2025-03-08,E.Leclerc,FR,EDI,EDI order not processed — manual intervention required,48,EDI mapping error — incorrect product code in ORDERS message.
CS-2025-0026,2025-03-13,Carrefour France,FR,EDI,EDI order not processed — manual intervention required,4,third time this quarter for Carrefour FR — escalating to Opella Digital.
CS-2025-0027,2025-03-14,E.Leclerc,FR,Manual,Delivery short — quantity variance,50,Price list version mismatch. Updated in system.
CS-2025-0028,2025-03-26,Lidl Europe,EU,Phone,Credit note dispute,91,Customer accepted revised delivery date.
CS-2025-0029,2025-03-27,E.Leclerc,FR,Email,Pricing discrepancy on invoice,75,Resolved by account manager — credit note issued.
CS-2025-0030,2025-03-27,E.Leclerc,FR,EDI,EDI order not processed — manual intervention required,6,Retailer EDI portal shows accepted but order not in our system.
CS-2025-0031,2025-03-27,dm (Drogerie Markt),DE,Manual,Returns authorisation requested,4,Price list version mismatch. Updated in system.
CS-2025-0032,2025-04-01,Tesco UK,UK,Manual,Stockout complaint — product unavailable,24,Customer reporting out-of-stock on Doliprane 500mg in-store. Escalated to supply chain.
CS-2025-0033,2025-04-03,Tesco UK,UK,Email,Credit note dispute,69,Customer accepted revised delivery date.
CS-2025-0034,2025-04-04,Tesco UK,UK,Manual,Stockout complaint — product unavailable,24,Customer reporting out-of-stock on Doliprane 500mg in-store. Escalated to supply chain.
CS-2025-0035,2025-04-08,dm (Drogerie Markt),DE,EDI,EDI order not processed — manual intervention required,8,third time this quarter for Carrefour FR — escalating to Opella Digital.
CS-2025-0036,2025-04-08,E.Leclerc,FR,EDI,EDI order not processed — manual intervention required,12,EDI connection timeout. Order queued for manual processing.
CS-2025-0037,2025-04-09,E.Leclerc,FR,EDI,Stockout complaint — product unavailable,48,Allegra 120mg unavailable at Boots UK — store running promotions this week.
CS-2025-0038,2025-04-10,Boots UK,UK,EDI,Stockout complaint — product unavailable,72,Allegra 120mg unavailable at Boots UK — store running promotions this week.
CS-2025-0039,2025-04-11,E.Leclerc,FR,Email,Stockout complaint — product unavailable,48,Repeated stockout on same SKU — customer requested urgent call with commercial team.
CS-2025-0040,2025-04-11,Boots UK,UK,Phone,Delivery date change requested,49,Price list version mismatch. Updated in system.
CS-2025-0041,2025-04-14,dm (Drogerie Markt),DE,Manual,Pricing discrepancy on invoice,6,Price list version mismatch. Updated in system.
CS-2025-0042,2025-04-21,Coop Group,EU,Phone,Customer query — payment application,44,Customer accepted revised delivery date.
CS-2025-0043,2025-04-21,Mercadona,ES,Email,Product substitution query,34,Short delivery confirmed by logistics — credit raised.
CS-2025-0044,2025-04-22,Mercadona,ES,Phone,Pricing discrepancy on invoice,22,Customer accepted revised delivery date.
CS-2025-0045,2025-05-02,Tesco UK,UK,Email,Stockout complaint — product unavailable,72,Repeated stockout on same SKU — customer requested urgent call with commercial team.
CS-2025-0046,2025-05-03,Coop Group,EU,EDI,EDI order not processed — manual intervention required,48,third time this quarter for Carrefour FR — escalating to Opella Digital.
CS-2025-0047,2025-05-03,Lidl Europe,EU,Email,Customer query — payment application,41,Awaiting sign-off from Credit Controller.
CS-2025-0048,2025-05-03,Mercadona,ES,Email,Stockout complaint — product unavailable,24,Repeated stockout on same SKU — customer requested urgent call with commercial team.
CS-2025-0049,2025-05-03,Boots UK,UK,EDI,EDI order not processed — manual intervention required,24,Order duplicate detected on EDI channel. Customer notified.
CS-2025-0050,2025-05-05,Boots UK,UK,Manual,Returns authorisation requested,86,Resolved by account manager — credit note issued.
CS-2025-0051,2025-05-06,E.Leclerc,FR,Manual,Stockout complaint — product unavailable,72,Repeated stockout on same SKU — customer requested urgent call with commercial team.
CS-2025-0052,2025-05-07,Mercadona,ES,Phone,Product substitution query,53,Price list version mismatch. Updated in system.
CS-2025-0053,2025-05-07,Coop Group,EU,EDI,EDI order not processed — manual intervention required,12,Customer threatened to delist Doliprane if EDI reliability does not improve.
CS-2025-0054,2025-05-08,E.Leclerc,FR,Email,Stockout complaint — product unavailable,24,Customer reporting out-of-stock on Doliprane 500mg in-store. Escalated to supply chain.
CS-2025-0055,2025-05-09,Boots UK,UK,EDI,Stockout complaint — product unavailable,72,Allegra 120mg unavailable at Boots UK — store running promotions this week.
CS-2025-0056,2025-05-10,E.Leclerc,FR,Manual,Delivery short — quantity variance,69,Customer accepted revised delivery date.
CS-2025-0057,2025-05-15,Mercadona,ES,Manual,Product substitution query,82,Short delivery confirmed by logistics — credit raised.
CS-2025-0058,2025-05-16,Coop Group,EU,Manual,Delivery date change requested,92,Short delivery confirmed by logistics — credit raised.
CS-2025-0059,2025-05-18,dm (Drogerie Markt),DE,Phone,Delivery short — quantity variance,86,Short delivery confirmed by logistics — credit raised.
CS-2025-0060,2025-05-24,Tesco UK,UK,EDI,Pricing discrepancy on invoice,43,Price list version mismatch. Updated in system.
CS-2025-0061,2025-05-27,Lidl Europe,EU,Manual,Delivery date change requested,44,Price list version mismatch. Updated in system.
CS-2025-0062,2025-05-28,E.Leclerc,FR,Email,Pricing discrepancy on invoice,31,Short delivery confirmed by logistics — credit raised.
CS-2025-0063,2025-05-31,Boots UK,UK,EDI,EDI order not processed — manual intervention required,48,EDI connection timeout. Order queued for manual processing.
CS-2025-0064,2025-06-04,Coop Group,EU,EDI,EDI order not processed — manual intervention required,6,Customer threatened to delist Doliprane if EDI reliability does not improve.
CS-2025-0065,2025-06-08,Coop Group,EU,Manual,Delivery short — quantity variance,4,Price list version mismatch. Updated in system.
CS-2025-0066,2025-06-12,Coop Group,EU,EDI,EDI order not processed — manual intervention required,4,EDI connection timeout. Order queued for manual processing.
CS-2025-0067,2025-06-13,Mercadona,ES,EDI,Pricing discrepancy on invoice,59,Awaiting sign-off from Credit Controller.
CS-2025-0068,2025-06-20,Tesco UK,UK,Email,Product substitution query,9,Short delivery confirmed by logistics — credit raised.
CS-2025-0069,2025-06-24,Tesco UK,UK,EDI,Returns authorisation requested,42,Price list version mismatch. Updated in system.
CS-2025-0070,2025-06-25,E.Leclerc,FR,EDI,EDI order not processed — manual intervention required,12,EDI acknowledgement not received from partner. Manual re-entry required.
CS-2025-0071,2025-06-30,Lidl Europe,EU,EDI,EDI order not processed — manual intervention required,4,EDI connection timeout. Order queued for manual processing.
CS-2025-0072,2025-07-03,E.Leclerc,FR,Phone,Credit note dispute,96,Price list version mismatch. Updated in system.
CS-2025-0073,2025-07-06,E.Leclerc,FR,EDI,EDI order not processed — manual intervention required,4,EDI connection timeout. Order queued for manual processing.
CS-2025-0074,2025-07-08,Lidl Europe,EU,EDI,Customer query — payment application,27,Price list version mismatch. Updated in system.
CS-2025-0075,2025-07-08,Coop Group,EU,EDI,EDI order not processed — manual intervention required,8,Customer threatened to delist Doliprane if EDI reliability does not improve.
CS-2025-0076,2025-07-08,dm (Drogerie Markt),DE,Phone,Pricing discrepancy on invoice,86,Short delivery confirmed by logistics — credit raised.
CS-2025-0077,2025-07-11,Carrefour France,FR,Manual,Returns authorisation requested,17,Resolved by account manager — credit note issued.
CS-2025-0078,2025-07-18,dm (Drogerie Markt),DE,Phone,Returns authorisation requested,32,Price list version mismatch. Updated in system.
CS-2025-0079,2025-07-19,Lidl Europe,EU,EDI,EDI order not processed — manual intervention required,6,Customer threatened to delist Doliprane if EDI reliability does not improve.
CS-2025-0080,2025-07-21,Carrefour France,FR,Email,Delivery date change requested,87,Customer accepted revised delivery date.
CS-2025-0081,2025-07-21,Carrefour France,FR,Email,Product substitution query,59,Short delivery confirmed by logistics — credit raised.
CS-2025-0082,2025-07-21,Lidl Europe,EU,Phone,Credit note dispute,96,Awaiting sign-off from Credit Controller.
CS-2025-0083,2025-07-27,dm (Drogerie Markt),DE,EDI,EDI order not processed — manual intervention required,4,Order duplicate detected on EDI channel. Customer notified.
CS-2025-0084,2025-07-28,E.Leclerc,FR,EDI,EDI order not processed — manual intervention required,8,Order duplicate detected on EDI channel. Customer notified.
CS-2025-0085,2025-07-29,Lidl Europe,EU,EDI,Customer query — payment application,37,Price list version mismatch. Updated in system.
CS-2025-0086,2025-08-01,Coop Group,EU,Manual,Customer query — payment application,21,Resolved by account manager — credit note issued.
CS-2025-0087,2025-08-03,Mercadona,ES,EDI,Delivery short — quantity variance,54,Customer accepted revised delivery date.
CS-2025-0088,2025-08-06,Lidl Europe,EU,Email,Product substitution query,11,Customer accepted revised delivery date.
CS-2025-0089,2025-08-07,Boots UK,UK,Manual,Customer query — payment application,60,Price list version mismatch. Updated in system.
CS-2025-0090,2025-08-12,E.Leclerc,FR,Email,Delivery date change requested,59,Price list version mismatch. Updated in system.
CS-2025-0091,2025-08-14,Mercadona,ES,Email,Customer query — payment application,32,Resolved by account manager — credit note issued.
CS-2025-0092,2025-08-17,E.Leclerc,FR,EDI,Pricing discrepancy on invoice,84,Awaiting sign-off from Credit Controller.
CS-2025-0093,2025-08-21,Lidl Europe,EU,Manual,Product substitution query,60,Awaiting sign-off from Credit Controller.
CS-2025-0094,2025-08-27,Boots UK,UK,Manual,Pricing discrepancy on invoice,34,Customer accepted revised delivery date.
CS-2025-0095,2025-08-28,Boots UK,UK,Email,Product substitution query,57,Awaiting sign-off from Credit Controller.
CS-2025-0096,2025-08-29,dm (Drogerie Markt),DE,Email,Product substitution query,48,Price list version mismatch. Updated in system.
CS-2025-0097,2025-08-30,Boots UK,UK,Manual,Credit note dispute,69,Resolved by account manager — credit note issued.
CS-2025-0098,2025-09-03,dm (Drogerie Markt),DE,Phone,Returns authorisation requested,3,Resolved by account manager — credit note issued.
CS-2025-0099,2025-09-09,dm (Drogerie Markt),DE,Manual,Customer query — payment application,56,Customer accepted revised delivery date.
CS-2025-0100,2025-09-18,Lidl Europe,EU,Phone,Customer query — payment application,7,Resolved by account manager — credit note issued.
CS-2025-0101,2025-09-20,Carrefour France,FR,EDI,Product substitution query,24,Resolved by account manager — credit note issued.
CS-2025-0102,2025-09-21,dm (Drogerie Markt),DE,Phone,Product substitution query,95,Price list version mismatch. Updated in system.
CS-2025-0103,2025-10-06,Carrefour France,FR,Email,Stockout complaint — product unavailable,72,Allegra 120mg unavailable at Boots UK — store running promotions this week.
CS-2025-0104,2025-10-06,Carrefour France,FR,EDI,Customer query — payment application,29,Resolved by account manager — credit note issued.
CS-2025-0105,2025-10-08,Mercadona,ES,Email,Credit note dispute,84,Awaiting sign-off from Credit Controller.
CS-2025-0106,2025-10-09,Tesco UK,UK,Email,Stockout complaint — product unavailable,48,Allegra 120mg unavailable at Boots UK — store running promotions this week.
CS-2025-0107,2025-10-10,Tesco UK,UK,Phone,Delivery short — quantity variance,96,Customer accepted revised delivery date.
CS-2025-0108,2025-10-11,Boots UK,UK,Email,Stockout complaint — product unavailable,48,Customer reporting out-of-stock on Doliprane 500mg in-store. Escalated to supply chain.
CS-2025-0109,2025-10-14,Mercadona,ES,EDI,Stockout complaint — product unavailable,24,Customer reporting out-of-stock on Doliprane 500mg in-store. Escalated to supply chain.
CS-2025-0110,2025-10-14,Tesco UK,UK,Phone,Delivery short — quantity variance,25,Short delivery confirmed by logistics — credit raised.
CS-2025-0111,2025-10-19,Tesco UK,UK,Manual,Stockout complaint — product unavailable,72,Stockout on Buscopan DACH — customer requesting urgent replenishment.
CS-2025-0112,2025-10-19,E.Leclerc,FR,EDI,Customer query — payment application,69,Customer accepted revised delivery date.
CS-2025-0113,2025-10-20,E.Leclerc,FR,EDI,Stockout complaint — product unavailable,24,Stockout on Buscopan DACH — customer requesting urgent replenishment.
CS-2025-0114,2025-10-24,Lidl Europe,EU,Phone,Returns authorisation requested,92,Price list version mismatch. Updated in system.
CS-2025-0115,2025-10-24,Carrefour France,FR,Phone,Returns authorisation requested,1,Short delivery confirmed by logistics — credit raised.
CS-2025-0116,2025-10-26,Tesco UK,UK,Email,Returns authorisation requested,57,Customer accepted revised delivery date.
CS-2025-0117,2025-10-26,dm (Drogerie Markt),DE,EDI,Credit note dispute,11,Customer accepted revised delivery date.
CS-2025-0118,2025-10-29,E.Leclerc,FR,EDI,EDI order not processed — manual intervention required,6,EDI acknowledgement not received from partner. Manual re-entry required.
CS-2025-0119,2025-10-29,Carrefour France,FR,Phone,Credit note dispute,68,Price list version mismatch. Updated in system.
CS-2025-0120,2025-11-02,Tesco UK,UK,EDI,Pricing discrepancy on invoice,83,Customer accepted revised delivery date.
CS-2025-0121,2025-11-02,Carrefour France,FR,EDI,Stockout complaint — product unavailable,24,Customer reporting out-of-stock on Doliprane 500mg in-store. Escalated to supply chain.
CS-2025-0122,2025-11-02,E.Leclerc,FR,Manual,Pricing discrepancy on invoice,90,Short delivery confirmed by logistics — credit raised.
CS-2025-0123,2025-11-04,Lidl Europe,EU,Email,Credit note dispute,2,Awaiting sign-off from Credit Controller.
CS-2025-0124,2025-11-07,Tesco UK,UK,EDI,Stockout complaint — product unavailable,72,Allegra 120mg unavailable at Boots UK — store running promotions this week.
CS-2025-0125,2025-11-08,Mercadona,ES,EDI,Stockout complaint — product unavailable,72,Repeated stockout on same SKU — customer requested urgent call with commercial team.
CS-2025-0126,2025-11-09,Tesco UK,UK,EDI,Returns authorisation requested,74,Price list version mismatch. Updated in system.
CS-2025-0127,2025-11-10,Coop Group,EU,EDI,EDI order not processed — manual intervention required,12,Retailer EDI portal shows accepted but order not in our system.
CS-2025-0128,2025-11-11,Mercadona,ES,EDI,Returns authorisation requested,54,Awaiting sign-off from Credit Controller.
CS-2025-0129,2025-11-13,Coop Group,EU,EDI,EDI order not processed — manual intervention required,12,Order duplicate detected on EDI channel. Customer notified.
CS-2025-0130,2025-11-16,dm (Drogerie Markt),DE,EDI,EDI order not processed — manual intervention required,12,Customer threatened to delist Doliprane if EDI reliability does not improve.
CS-2025-0131,2025-11-16,Coop Group,EU,EDI,EDI order not processed — manual intervention required,4,Customer threatened to delist Doliprane if EDI reliability does not improve.
CS-2025-0132,2025-11-19,Mercadona,ES,Manual,Customer query — payment application,57,Resolved by account manager — credit note issued.
CS-2025-0133,2025-11-22,Coop Group,EU,EDI,EDI order not processed — manual intervention required,48,Order duplicate detected on EDI channel. Customer notified.
CS-2025-0134,2025-11-27,Coop Group,EU,Phone,Delivery date change requested,69,Short delivery confirmed by logistics — credit raised.
CS-2025-0135,2025-12-02,Carrefour France,FR,EDI,EDI order not processed — manual intervention required,6,EDI mapping error — incorrect product code in ORDERS message.
CS-2025-0136,2025-12-02,Lidl Europe,EU,EDI,EDI order not processed — manual intervention required,24,Retailer EDI portal shows accepted but order not in our system.
CS-2025-0137,2025-12-08,dm (Drogerie Markt),DE,EDI,EDI order not processed — manual intervention required,48,Retailer EDI portal shows accepted but order not in our system.
CS-2025-0138,2025-12-08,Coop Group,EU,EDI,Delivery date change requested,39,Awaiting sign-off from Credit Controller.
CS-2025-0139,2025-12-10,Lidl Europe,EU,Phone,Customer query — payment application,52,Short delivery confirmed by logistics — credit raised.
CS-2025-0140,2025-12-10,Carrefour France,FR,Email,Delivery date change requested,14,Price list version mismatch. Updated in system.
CS-2025-0141,2025-12-10,dm (Drogerie Markt),DE,EDI,EDI order not processed — manual intervention required,12,Customer threatened to delist Doliprane if EDI reliability does not improve.
CS-2025-0142,2025-12-14,E.Leclerc,FR,Manual,Returns authorisation requested,16,Awaiting sign-off from Credit Controller.
